name,team,position,games_played,points_per_game,rebounds_per_game,assists_per_game,field_goal_pct,three_point_pct,minutes_per_game
Luka Doncic,LAL,G,70,28.4,8.6,7.8,0.487,0.382,35.1
Jayson Tatum,BOS,F,74,26.9,8.1,4.9,0.471,0.376,35.7
Shai Gilgeous-Alexander,OKC,G,76,30.1,5.5,6.2,0.535,0.353,34.0
Nikola Jokic,DEN,C,79,29.6,13.7,9.8,0.583,0.359,36.7
Giannis Antetokounmpo,MIL,F,73,30.4,11.5,6.5,0.611,0.274,35.2
Anthony Edwards,MIN,G,79,25.9,5.4,5.1,0.461,0.395,35.1
Devin Booker,PHX,G,75,27.1,4.5,6.9,0.466,0.361,36.0
Donovan Mitchell,CLE,G,77,26.6,5.1,6.1,0.46,0.367,35.4
Kevin Durant,PHX,F,70,27.1,6.6,4.2,0.527,0.413,36.6
Tyrese Haliburton,IND,G,69,18.6,3.9,9.2,0.477,0.402,32.4
Jalen Brunson,NYK,G,77,28.7,3.6,7.3,0.479,0.401,35.4
Trae Young,ATL,G,76,25.7,2.8,11.6,0.433,0.371,36.0
Domantas Sabonis,SAC,C,71,19.4,13.7,7.3,0.594,0.372,34.6
LeBron James,LAL,F,71,23.5,7.8,8.2,0.51,0.41,35.0
Pascal Siakam,IND,F,80,21.3,7.2,3.7,0.54,0.358,33.6
De'Aaron Fox,SAC,G,74,25.2,4.1,5.6,0.461,0.337,35.0
Paolo Banchero,ORL,F,80,22.6,6.9,5.4,0.456,0.337,33.6
Cade Cunningham,DET,G,62,22.7,4.3,7.5,0.452,0.354,34.0
Victor Wembanyama,SAS,C,71,21.4,10.6,3.9,0.469,0.324,29.7
Jaylen Brown,BOS,F,70,23.0,5.5,3.6,0.49,0.354,33.5
